"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.61341200,50.00000000,3.47560976,-24.26829268
5.63346600,42.56097561,7.50000000,-29.57317073
5.65352200,21.03658537,6.34146341,-32.74390244
5.67357800,-4.75609756,-5.60975610,-32.68292683
5.69363500,-18.96341463,-13.78048780,-34.32926829
5.71369000,-21.40243902,-12.19512195,-38.17073171
5.73374700,-20.91463415,-8.23170732,-40.24390244
5.75380300,-22.68292683,-3.10975610,-35.48780488
5.77386000,-27.37804878,-1.40243902,-29.20731707
5.79391700,-32.68292683,-5.60975610,-24.57317073
5.81397200,-35.12195122,-6.70731707,-25.97560976
5.83403600,-34.14634146,-10.30487805,-28.78048780
5.85410000,-37.92682927,-13.29268293,-29.45121951
5.87415400,-41.46341463,-14.20731707,-27.80487805
5.89420900,-43.17073171,-11.95121951,-24.63414634
5.91426300,-42.98780488,-8.29268293,-21.28048780
5.93431700,-50.18292683,-9.20731707,-21.76829268
5.95437200,-75.24390244,-17.01219512,-27.07317073
5.97442600,-90.48780488,-21.46341463,-30.60975610
5.99448000,-84.14634146,-25.73170732,-30.91463415
6.01453600,-76.95121951,-24.63414634,-30.67073171
6.03459500,-87.98780488,-19.26829268,-32.98780488
6.05465000,-111.15853659,-11.64634146,-38.35365854
6.07470300,-131.09756098,-8.65853659,-45.91463415
6.09475800,-122.37804878,-18.29268293,-47.86585366
6.11481300,-111.70731707,-20.42682927,-43.04878049
6.13486800,-117.68292683,-18.53658537,-43.23170732
6.15492200,-138.47560976,-23.90243902,-46.82926829
6.17497700,-139.08536585,-27.19512195,-46.40243902
6.19503200,-120.60975610,-22.31707317,-39.93902439
6.21508600,-116.52439024,-14.14634146,-35.36585366
6.23514000,-124.14634146,-11.82926829,-35.60975610
6.25519400,-134.75609756,-12.74390244,-39.20731707
6.27524800,-136.82926829,-16.70731707,-42.74390244
6.29530500,-130.00000000,-15.24390244,-38.71951220
6.31535900,-121.46341463,-9.75609756,-29.69512195
6.33541300,-109.87804878,-8.23170732,-22.56097561
6.35546800,-103.23170732,-9.32926829,-20.00000000
6.37552300,-102.62195122,-12.92682927,-20.18292683
6.39557700,-104.51219512,-17.56097561,-20.97560976
6.41563100,-112.37804878,-19.39024390,-19.20731707
6.43568500,-116.40243902,-19.57317073,-20.30487805
6.45575400,-111.46341463,-13.23170732,-24.57317073
6.47582200,-103.84146341,-8.90243902,-23.47560976
6.49588600,-100.24390244,-10.60975610,-21.28048780
6.51594100,-98.47560976,-21.28048780,-17.50000000
6.53599700,-95.30487805,-15.30487805,-15.91463415
6.55605300,-92.07317073,-9.39024390,-17.19512195
6.57610800,-88.90243902,-0.73170732,-20.91463415
6.59616300,-92.98780488,-0.60975610,-23.23170732
6.61621700,-96.40243902,-6.34146341,-20.48780488
6.63627100,-94.39024390,-12.98780488,-16.82926829
6.65632400,-92.62195122,-18.35365854,-12.19512195
6.67637900,-96.70731707,-16.89024390,-7.92682927
6.69643300,-92.74390244,-13.17073171,-5.18292683
6.71648700,-81.89024390,-13.47560976,-0.97560976
6.73654100,-76.15853659,-11.03658537,3.53658537
6.75659500,-75.24390244,-11.15853659,7.19512195
6.77664900,-74.51219512,-7.68292683,8.84146341
6.79670300,-75.12195122,-2.92682927,8.84146341
6.81675800,-81.52439024,-1.46341463,6.95121951
6.83681200,-78.78048780,-5.85365854,9.51219512
6.85687300,-59.93902439,-4.75609756,18.59756098
6.87694200,-44.14634146,1.09756098,27.50000000
6.89699700,-46.76829268,2.13414634,28.53658537
6.91705100,-51.95121951,-5.79268293,25.18292683
6.93710500,-44.45121951,-16.95121951,22.25609756
6.95715900,-42.37804878,-15.48780488,23.41463415
6.97721400,-36.58536585,-4.57317073,25.54878049
6.99726900,-22.19512195,3.04878049,26.95121951
7.01732600,-17.86585366,0.30487805,25.18292683
7.03738400,-18.84146341,-5.00000000,21.46341463
7.05743800,-20.00000000,-3.96341463,21.58536585
7.07749200,-10.48780488,2.98780488,24.75609756
7.09754700,1.76829268,7.50000000,29.45121951
7.11761400,11.46341463,1.28048780,30.00000000
7.13766900,3.47560976,-6.09756098,24.45121951
7.15772600,-11.64634146,-8.41463415,20.42682927
7.17778100,-7.19512195,-8.04878049,20.54878049
7.19783600,-1.76829268,-6.89024390,24.02439024
7.21789000,3.41463415,-6.21951220,28.96341463
7.23794400,7.92682927,-8.59756098,33.96341463
7.25800000,15.42682927,-12.68292683,36.46341463
7.27805400,12.50000000,-14.51219512,32.50000000
7.29811300,1.52439024,-10.18292683,24.75609756
7.31816700,7.01219512,-4.93902439,24.45121951
7.34118000,18.35365854,-2.19512195,34.69512195
7.36518000,38.23170732,-5.12195122,49.93902439
7.38523400,57.56097561,-11.40243902,60.73170732
7.40528800,52.31707317,-15.54878049,52.86585366
7.42534200,22.25609756,-14.81707317,30.12195122
7.44539600,-1.95121951,-10.73170732,11.46341463
7.46545100,-4.93902439,-2.98780488,12.01219512
7.48551400,24.87804878,-2.19512195,24.39024390
7.50558200,40.60975610,-7.98780488,27.56097561
7.52563900,20.97560976,-12.92682927,16.82926829
7.54569300,9.26829268,-10.12195122,3.84146341
7.56574800,20.12195122,-4.51219512,-3.17073171
7.58582000,41.40243902,-5.67073171,-0.48780488
7.60587500,70.97560976,-15.54878049,5.60975610
7.62592900,59.51219512,-22.62195122,17.43902439
7.64598400,63.23170732,-20.12195122,28.35365854
7.66604100,85.18292683,-20.00000000,35.12195122
7.68609600,91.28048780,-19.20731707,37.31707317
7.70615100,100.60975610,-22.56097561,34.87804878
7.72620500,107.56097561,-30.97560976,27.80487805
7.74626100,82.56097561,-34.75609756,15.60975610
7.76631500,63.84146341,-34.93902439,5.85365854
7.78636900,74.51219512,-36.76829268,1.82926829
7.80642300,87.43902439,-28.96341463,4.93902439
7.82647800,104.26829268,-25.00000000,10.48780488
7.84653200,122.01219512,-25.12195122,15.06097561
7.86658900,126.64634146,-30.91463415,19.75609756
7.88665200,122.68292683,-38.23170732,25.67073171
7.90670700,128.17073171,-38.71951220,26.76829268
7.92677100,135.24390244,-33.84146341,21.34146341
7.94682600,128.59756098,-36.15853659,14.75609756
7.96688100,113.04878049,-36.40243902,10.06097561
7.98693500,99.51219512,-32.92682927,7.86585366
8.00699200,85.91463415,-21.15853659,9.32926829
8.02704900,85.06097561,-11.34146341,10.12195122
8.05402500,106.15853659,-16.76829268,14.81707317
8.07408100,132.25609756,-22.01219512,23.29268293
8.09413800,138.65853659,-17.43902439,25.06097561
8.11419200,126.15853659,-7.37804878,20.54878049
8.13424800,110.97560976,1.40243902,15.24390244
8.15430400,111.52439024,2.62195122,11.52439024
8.17436100,118.78048780,0.54878049,6.89024390
8.19441600,118.29268293,-6.40243902,0.48780488
8.21447800,97.56097561,0.36585366,-7.31707317
8.23454200,97.56097561,0.36585366,-7.31707317
8.25460900,99.02439024,10.97560976,-0.91463415
8.27467400,105.54878049,14.93902439,5.24390244
8.29473100,110.42682927,15.06097561,4.08536585
8.31478600,108.29268293,13.65853659,-1.40243902
8.33484300,94.93902439,6.95121951,-7.01219512
8.35489800,79.45121951,0.79268293,-8.53658537
8.37495100,76.40243902,-0.06097561,-7.50000000
8.39500500,81.52439024,3.10975610,-7.86585366
8.41505800,82.68292683,8.29268293,-13.04878049
8.43511100,76.95121951,3.90243902,-21.70731707
8.45516800,65.06097561,-5.73170732,-26.40243902
8.47522200,56.46341463,-9.75609756,-22.74390244
8.49527600,55.60975610,-9.45121951,-20.00000000
8.51534000,52.56097561,-6.28048780,-19.69512195
8.53539500,50.18292683,0.06097561,-21.82926829
8.55545800,48.35365854,0.24390244,-24.93902439
8.57551300,41.76829268,-7.62195122,-27.80487805
8.59556700,27.25609756,-10.30487805,-29.02439024
8.61562600,17.25609756,-12.31707317,-28.96341463
8.63568200,11.95121951,-11.28048780,-30.79268293
8.65573900,9.08536585,-12.01219512,-31.70731707
8.67579700,4.14634146,-14.32926829,-30.06097561
8.69585300,-0.73170732,-14.45121951,-28.10975610
8.71590700,-5.36585366,-13.04878049,-26.82926829
8.73596200,-10.97560976,-12.68292683,-27.37804878
8.75601600,-10.67073171,-12.86585366,-27.80487805
8.77607000,-6.58536585,-14.26829268,-25.00000000
8.79612400,-10.79268293,-15.85365854,-21.21951220
8.81617800,-19.81707317,-13.96341463,-20.18292683
8.83623200,-24.14634146,-12.19512195,-20.97560976
8.85628800,-22.31707317,-14.02439024,-20.97560976
8.87634200,-24.57317073,-17.01219512,-20.36585366
8.89639600,-32.43902439,-17.19512195,-20.91463415
8.91645000,-42.74390244,-17.50000000,-23.35365854
8.93651100,-62.62195122,-18.29268293,-27.80487805
8.95657500,-84.81707317,-19.32926829,-32.31707317
8.97663000,-99.57317073,-23.23170732,-34.26829268
8.99668400,-87.56097561,-34.26829268,-31.89024390
9.01674300,-79.63414634,-26.03658537,-30.60975610
9.03679700,-88.71951220,-13.59756098,-34.02439024
9.05685300,-98.04878049,-11.64634146,-34.75609756
9.07690800,-98.53658537,-18.71951220,-30.00000000
9.09696300,-101.09756098,-24.45121951,-27.98780488
9.11701600,-115.00000000,-33.59756098,-31.52439024
9.13707000,-109.87804878,-31.52439024,-33.17073171
9.15713800,-92.92682927,-19.81707317,-23.41463415
9.17719300,-97.86585366,-10.85365854,-18.17073171
9.19724800,-130.85365854,-12.74390244,-28.10975610
9.21730300,-155.00000000,-30.91463415,-43.04878049
9.23735700,-151.34146341,-41.09756098,-46.40243902
9.25741400,-124.57317073,-36.28048780,-38.17073171
9.27746900,-107.37804878,-24.75609756,-28.53658537
9.29752400,-109.51219512,-19.26829268,-24.69512195
9.31758000,-110.00000000,-19.14634146,-21.89024390
9.33763700,-101.09756098,-13.23170732,-19.87804878
9.35769400,-94.75609756,-6.76829268,-23.04878049
9.37774900,-100.54878049,-16.21951220,-26.58536585
9.39780300,-103.17073171,-24.20731707,-25.42682927
9.41786000,-89.51219512,-16.40243902,-20.30487805
9.43791400,-75.97560976,-6.52439024,-16.15853659
9.45797200,-76.40243902,0.24390244,-15.36585366
9.47802700,-90.54878049,-3.04878049,-20.48780488
9.49808100,-103.10975610,-12.80487805,-24.57317073
9.51813500,-108.35365854,-19.93902439,-20.91463415
9.53818900,-108.41463415,-17.98780488,-13.90243902
9.55824800,-97.74390244,-19.02439024,-9.93902439
9.57831400,-85.85365854,-18.96341463,-7.74390244
9.59836900,-78.59756098,-20.91463415,-6.64634146
9.61842400,-72.13414634,-22.13414634,-2.31707317
9.63847800,-66.52439024,-17.43902439,3.53658537
9.65853400,-68.04878049,-9.32926829,6.03658537
9.67859000,-71.76829268,-6.46341463,6.64634146
9.69864500,-64.51219512,-8.41463415,9.02439024
9.71873000,-60.36585366,-10.48780488,10.91463415
9.73878500,-53.96341463,-9.75609756,10.67073171
9.75884000,-34.51219512,-5.85365854,14.69512195
9.77889400,-16.95121951,-1.76829268,20.30487805
9.79894900,-10.36585366,4.75609756,24.14634146
9.81900300,-1.46341463,11.58536585,28.59756098
9.83905700,7.13414634,13.35365854,32.07317073
9.85911500,4.63414634,10.06097561,30.67073171
9.87917000,-0.79268293,5.36585366,27.98780488
9.89922600,-4.63414634,3.41463415,30.42682927
9.91928100,-11.28048780,5.12195122,34.39024390
9.93933700,-18.17073171,3.29268293,34.87804878
9.95939900,-20.48780488,-0.18292683,31.52439024
9.97946300,-18.17073171,-0.24390244,32.80487805
9.99952100,-12.86585366,-0.67073171,39.14634146
10.01957800,-7.19512195,-1.46341463,44.39024390
10.03963400,-7.56097561,-1.64634146,43.84146341
10.05969000,-22.25609756,5.06097561,37.62195122
10.07974500,-41.64634146,10.97560976,30.97560976
10.09979900,-54.02439024,11.89024390,28.78048780
10.11985300,-45.36585366,7.25609756,29.57317073
10.13990700,-40.18292683,-1.40243902,25.30487805
10.15996100,-63.65853659,2.07317073,14.14634146
10.18001400,-81.70731707,8.59756098,1.89024390
10.20007200,-85.06097561,8.29268293,-6.21951220
10.22012700,-80.85365854,12.56097561,-6.58536585
10.24018900,-68.59756098,11.82926829,1.64634146
10.26034400,-60.67073171,2.86585366,8.59756098
10.28042000,0.00000000,0.00000000,0.00000000
10.30049300,-53.47560976,-15.18292683,1.95121951
10.32056800,-55.48780488,-19.14634146,1.89024390
10.34063400,-44.87804878,-12.92682927,6.89024390
10.36069400,-23.35365854,-14.87804878,15.06097561
10.38075100,-4.39024390,-22.25609756,26.89024390
10.40080800,17.07317073,-29.08536585,40.06097561
10.42087200,38.41463415,-32.37804878,49.39024390
10.44093200,55.85365854,-29.26829268,50.67073171
10.46099000,60.67073171,-30.97560976,47.56097561
10.48106900,64.02439024,-33.96341463,43.78048780
10.50112600,81.34146341,-38.59756098,47.62195122
10.52118300,94.45121951,-40.97560976,53.78048780
10.54124000,105.85365854,-41.76829268,54.20731707
10.56130000,122.13414634,-45.54878049,46.34146341
10.58136600,130.30487805,-47.98780488,31.34146341
10.60156600,117.31707317,-45.48780488,22.56097561
10.62163200,105.54878049,-34.32926829,25.67073171
10.64169300,120.73170732,-22.25609756,26.95121951
10.66204400,136.89024390,-26.28048780,22.80487805
10.68213600,135.18292683,-39.81707317,14.08536585
10.70219600,114.45121951,-48.35365854,6.15853659
10.72225500,82.98780488,-44.20731707,8.90243902
10.74231200,78.71951220,-35.36585366,16.03658537
10.76237200,101.40243902,-26.03658537,16.89024390
10.78244100,122.56097561,-29.20731707,13.59756098
10.80250400,112.31707317,-41.76829268,13.53658537
