"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.19182600,-0.78983278,4.90175009,8.29085073
5.21222500,-0.50740772,4.90653695,7.71164003
5.23229200,0.02872119,5.32299424,6.90744666
5.25235600,-0.11967163,5.78732017,6.74948010
5.27243500,-0.57921070,6.29951476,6.78298816
5.29249100,-0.48826026,6.27079357,7.06062635
5.31254800,-0.31593311,6.14633507,6.98882337
5.33260500,-0.46432594,6.40482580,6.88351233
5.35266000,-0.75632472,6.90744666,6.66331653
5.37271900,-0.91429128,7.57282094,6.17984313
5.39277500,-0.86163576,7.68770570,6.19420372
5.41283100,-0.67973488,7.43878871,5.99315538
5.43289200,-0.75153786,7.65898451,6.20377745
5.45295700,-1.14884768,7.84567226,6.50534997
5.47301300,-1.04832351,7.47708363,6.65374279
5.49306800,-0.67016114,7.28082215,5.90220494
5.51312700,-0.49783399,7.57282094,5.08843784
5.53318400,-0.72281666,7.80259047,5.33256797
5.55324200,-1.28766677,8.08022866,5.69158287
5.57329900,-1.81422196,7.98927822,6.34738341
5.59335700,-1.67061600,7.95577016,5.92135240
5.61341200,-1.29245364,7.91747524,5.28469931
5.63346600,-1.43127273,8.30521133,4.70548861
5.65352200,-1.99612284,9.31523991,4.73420980
5.67357800,-2.31205595,9.37268230,5.03578232
5.69363500,-1.89559867,8.67379996,5.12194589
5.71369000,-1.66104227,8.19990029,5.12194589
5.73374700,-1.92431986,8.46796475,5.09322470
5.75380300,-2.25940043,8.82219278,4.87302890
5.77386000,-2.48438310,8.81261905,5.11237216
5.79391700,-2.50353056,8.35786685,5.61499302
5.81397200,-2.35035087,7.98927822,5.83040196
5.83403600,-2.62320220,8.11373672,6.00272911
5.85410000,-2.70457891,8.26212954,5.85433629
5.87415400,-2.75244756,8.16160537,5.95964732
5.89420900,-2.73808696,7.99406508,6.05059776
5.91426300,-2.84818487,7.94140957,6.41439953
5.93431700,-2.77159502,7.95098330,6.07453209
5.95437200,-2.69979204,7.68291884,6.12240074
5.97442600,-2.59926787,7.10849500,6.99361023
5.99448000,-2.58969414,6.65852966,7.55367348
6.01453600,-2.32162968,6.75905383,6.75426697
6.03459500,-2.11100761,6.62980847,6.02666344
6.05465000,-1.96261478,6.13676134,6.06017150
6.07470300,-2.36471147,5.40437095,7.41485438
6.09475800,-2.83382427,5.18417514,8.44881729
6.11481300,-2.86733233,5.17938828,8.35786685
6.13486800,-2.70457891,4.87781576,7.71164003
6.15492200,-2.91520098,4.56666952,8.16160537
6.17497700,-2.79552935,3.71939435,9.02324113
6.19503200,-2.66149712,3.38431378,9.01366740
6.21508600,-2.66628398,3.29815021,8.40573550
6.23514000,-2.54661235,2.52746489,8.54455460
6.25519400,-2.35992460,1.65146854,8.74560294
6.27524800,-2.50353056,1.16320827,9.19078141
6.29530500,-2.82425054,1.18714260,9.38704289
6.31535900,-2.93434844,0.88078322,9.62159929
6.33541300,-2.87211919,0.10052417,9.93274554
6.35546800,-2.73808696,-0.40688355,9.86094256
6.37552300,-2.64234966,-0.88078322,9.72691033
6.39557700,-2.59926787,-1.04353664,9.31045305
6.41563100,-2.43172758,-1.16320827,8.87484830
6.43568500,-1.98176224,-2.08707328,8.85091398
6.45575400,-1.79028763,-2.69021831,9.05196232
6.47582200,-1.96740165,-2.90562725,9.08068351
6.49588600,-2.50831743,-2.56097295,9.53064885
6.51594100,-2.31684281,-2.98221709,9.63595989
6.53599700,-1.81900882,-3.65237824,8.43445669
6.55605300,-1.63232107,-4.11191731,8.51104654
6.57610800,-1.62753421,-4.38476863,8.60678385
6.59616300,-2.08707328,-4.19329402,8.79825846
6.61621700,-2.24025297,-4.30339192,8.82697965
6.63627100,-2.17802372,-4.68634115,8.92271696
6.65632400,-1.94825419,-4.83473397,8.13767104
6.67637900,-1.64668167,-5.18896201,7.61590272
6.69643300,-1.65625540,-5.80646763,8.19032656
6.71648700,-1.71848465,-5.80646763,7.91747524
6.73654100,-1.71848465,-5.94049986,7.56803407
6.75659500,-1.57487869,-6.15112194,7.20901917
6.77664900,-1.47435452,-6.50056310,6.94574158
6.79670300,-1.42648587,-7.01754456,6.84043054
6.81675800,-1.66582913,-7.06541321,6.68725085
6.83681200,-1.90995926,-7.25688783,7.07020008
6.85687300,-1.94825419,-7.51537855,7.27603529
6.87694200,-2.05356522,-7.39570692,6.82606995
6.89699700,-2.01527030,-7.63983705,6.57236608
6.91705100,-2.06313895,-8.05629433,6.83085681
6.93710500,-2.01527030,-8.05629433,6.42397326
6.95715900,-1.83815628,-7.63505019,5.41394468
6.97721400,-1.91953299,-7.96055703,5.90220494
6.99726900,-2.04877836,-8.26691641,6.29951476
7.01732600,-2.10143388,-8.39616177,6.05538463
7.03738400,-2.17802372,-8.17117910,5.64850108
7.05743800,-2.28812162,-7.96534389,5.51925571
7.07749200,-2.47959624,-8.19990029,5.91656554
7.09754700,-2.62798906,-8.39137491,6.42397326
7.11761400,-2.62798906,-8.46317789,6.35695715
7.13766900,-2.55139922,-7.98927822,5.40915781
7.15772600,-2.61841533,-8.01321255,5.62456675
7.17778100,-2.71893950,-8.18553970,6.05538463
7.19783600,-2.85297173,-7.78822988,5.92613927
7.21789000,-2.99657769,-7.73078749,6.08410582
7.23794400,-3.08274127,-7.89832778,6.26121984
7.25800000,-3.00615142,-8.40573550,6.39525207
7.27805400,-2.78116875,-8.37701431,5.46181333
7.29811300,-2.69979204,-8.50147281,5.75381211
7.31816700,-3.26942901,-8.02757314,6.26600670
7.34118000,-3.94916389,-7.53452601,6.50056310
7.36518000,-4.01618000,-7.82652480,7.53452601
7.38523400,-3.56621466,-7.92226210,6.59630041
7.40528800,-2.75244756,-8.23340835,5.38522349
