"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.90882400,36.41875076,58.91875076,61.54999924
4.92888200,37.58750153,58.03125000,60.73749924
4.94893800,38.56250000,57.34375000,60.13124847
4.96901500,39.40000153,56.92499924,59.31250000
4.98907600,40.29999924,56.58124924,58.85625076
5.00913900,41.23125076,56.25000000,57.99375153
5.02919700,42.34999847,55.34999847,57.21875000
5.04925800,43.33750153,55.25000000,56.16249847
5.06932400,44.30625153,54.73749924,54.78749847
5.08938100,45.50000000,54.16249847,53.81874847
5.10945200,46.58124924,53.84999847,52.54375076
5.12952200,47.45624924,53.84375000,50.90625000
5.15149000,48.71875000,53.29375076,49.96250153
5.17174900,49.41249847,52.86875153,49.08750153
5.19182600,49.41249847,52.86875153,49.08750153
5.21222500,52.36249924,52.31874847,44.94374847
5.23229200,53.13750076,52.05625153,42.91249847
5.25235600,53.80625153,52.08124924,41.72499847
5.27243500,54.37500000,52.45624924,40.25624847
5.29249100,54.91249847,52.79999924,39.73749924
5.31254800,55.35625076,52.79375076,38.27500153
5.33260500,56.01874924,52.71875000,37.33750153
5.35266000,56.38124847,53.24375153,36.36249924
5.37271900,56.78125000,52.96875000,35.15625000
5.39277500,57.00000000,53.65625000,34.18750000
5.41283100,57.15000153,53.64374924,33.39374924
5.43289200,57.63124847,53.86875153,32.66875076
5.45295700,57.31874847,54.17499924,32.28125000
5.47301300,57.54999924,54.68750000,31.64999962
5.49306800,57.82500076,54.78749847,30.67499924
5.51312700,58.20624924,55.05625153,29.45000076
5.53318400,58.21875000,55.72499847,29.06250000
5.55324200,58.50000000,56.01874924,28.60625076
5.57329900,58.54375076,56.72499847,28.48125076
5.59335700,58.70000076,57.03749847,27.39374924
5.61341200,58.56874847,57.11249924,26.61874962
5.63346600,58.70000076,58.11875153,25.86874962
5.65352200,58.93750000,58.65625000,25.50625038
5.67357800,58.97499847,58.93125153,25.36874962
5.69363500,58.65625000,59.32500076,25.74374962
5.71369000,58.98749924,59.87500000,25.90625000
5.73374700,58.58750153,60.25000000,26.45000076
5.75380300,58.20000076,60.83750153,27.01250076
5.77386000,58.41249847,61.39374924,27.20624924
5.79391700,58.29375076,61.78749847,28.13750076
5.81397200,58.57500076,61.84375000,28.03125000
5.83403600,58.43750000,62.08750153,27.95624924
5.85410000,58.04375076,62.33124924,29.11874962
5.87415400,57.71250153,62.98125076,30.15625000
5.89420900,57.65625000,63.53125000,30.95000076
5.91426300,57.11875153,63.45000076,32.36249924
5.93431700,57.04375076,64.04374695,32.54999924
5.95437200,56.58750153,64.47499847,34.34375000
5.97442600,55.96250153,65.01875305,36.38124847
5.99448000,55.31250000,65.50624847,37.79999924
6.01453600,55.00624847,65.51249695,38.36875153
6.03459500,54.34375000,65.64375305,40.29375076
6.05465000,53.49375153,66.50000000,41.38750076
6.07470300,52.14374924,66.83125305,43.49375153
6.09475800,50.99375153,67.27500153,45.23125076
6.11481300,49.96250153,67.47499847,46.91875076
6.13486800,48.86875153,68.09375000,48.33124924
6.15492200,46.86249924,68.01249695,50.05625153
6.17497700,45.63124847,68.31874847,52.33750153
6.19503200,44.06874847,68.55000305,53.95000076
6.21508600,42.45000076,69.07499695,54.62500000
6.23514000,41.18750000,68.90625000,56.69374847
6.25519400,39.28749847,69.32499695,58.25624847
6.27524800,37.20000076,69.40000153,58.84999847
6.29530500,35.28749847,69.58750153,60.23749924
6.31535900,33.41875076,69.62500000,61.65625000
6.33541300,31.71249962,69.92500305,62.84375000
6.35546800,30.43124962,69.87500000,63.43750000
6.37552300,29.03125000,69.91249847,63.78749847
6.39557700,27.29375076,69.57499695,64.36250305
6.41563100,25.66875076,69.29374695,65.41249847
6.43568500,23.75625038,69.14375305,65.57499695
6.45575400,21.86249924,69.08750153,66.35624695
6.47582200,19.95624924,69.23124695,66.69999695
6.49588600,18.18124962,68.96250153,66.58750153
6.51594100,16.75625038,68.77500153,67.13749695
6.53599700,14.89999962,68.38124847,67.19374847
6.55605300,13.70625019,68.17500305,67.33125305
6.57610800,12.27499962,67.58750153,66.50624847
